baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_id
ACYP1|97	175.203883240485	0.257826668838723	0.10089380973399	2.55542604168176	0.0106057896775621	0.0183421504588032	ACYP1|97
ACYP2|98	509.305157674114	0.158053086935064	0.0738732179022644	2.13951810173168	0.0323937314913331	0.0512963774819282	ACYP2|98
ADA|100	107.165344947947	-0.331873037428627	0.12516256626027	-2.65153589723075	0.00801265950197648	0.0141536596088348	ADA|100
ADAM8|101	321.904108552841	-0.0122750794092285	0.122231669204419	-0.10042470571763	0.920007156582923	0.968094412734299	ADAM8|101
ADAM10|102	4332.40010244144	-0.139047480087442	0.129392925876244	-1.0746142352514	0.282547475866807	0.360567462714866	ADAM10|102
ADAR|103	14533.2478828888	0.0563969776140004	0.0586067635304658	0.962294694616318	0.335901593244241	0.419455808362706	ADAR|103
ADARB1|104	1919.74070185741	0.169247896096089	0.0673154300263946	2.51425113127446	0.0119285458995832	0.0204499755337664	ADARB1|104
ADARB2|105	97.6104884642487	-0.639165665161808	0.255127695795961	-2.50527745789302	0.0122355368928239	0.0209361265893826	ADARB2|105
ADCY1|107	1007.94295620236	0.693812318503436	0.179233568613889	3.87099539371484	0.000108391840475223	0.00025425868936281	ADCY1|107
ADCY2|108	804.018243000767	-0.358221709087946	0.153958540397325	-2.32674139520597	0.0199790332350915	0.0329212218039412	ADCY2|108
ADCY3|109	1369.02576477632	-0.602791303203689	0.0932255294860842	-6.4659466835602	1.00666569824893e-10	5.25480563133178e-10	ADCY3|109
ADCY5|111	722.516387184018	-1.49851835347068	0.16704267364391	-8.97087145926023	2.94177599639175e-19	4.43725399333047e-18	ADCY5|111
ADCY6|112	4593.76646754662	0.534512993162467	0.0709117801863519	7.53771787646282	4.78267149249282e-14	3.68181470003292e-13	ADCY6|112
ADCY7|113	376.179565050993	-0.227837224391537	0.116761476835453	-1.95130475021842	0.0510208043403557	0.0778653166178194	ADCY7|113
ADCY8|114	3.15379958700688	-4.11090709511554	0.438278393407896	-9.37967090540466	6.61789630859578e-21	1.2480096116373e-19	ADCY8|114
ADCY9|115	845.587871257046	-0.855656828980022	0.0951947533884406	-8.98848726976085	2.50656501446576e-19	3.81887120600518e-18	ADCY9|115
ADCYAP1|116	29.4013086584515	-0.438762372844578	0.259970948094379	-1.6877361722945	0.0914618848342592	0.13215043067693	ADCYAP1|116
ADCYAP1R1|117	4.45610930308378	-2.60668479059757	0.314158947791489	-8.29734377748061	1.06464962824669e-16	1.16272035191473e-15	ADCYAP1R1|117
ADD1|118	14076.5110173218	-0.356293888689317	0.0367106214229441	-9.70547146517749	2.85752137661361e-22	6.35080089905233e-21	ADD1|118
ADD2|119	172.377872608947	0.404546664783383	0.259428013977472	1.5593792612486	0.118906641850326	0.167450042138903	ADD2|119
ADD3|120	2781.86341988322	-0.823729406046581	0.135393210588411	-6.08397867564187	1.17236203900898e-09	5.33407100283778e-09	ADD3|120
PLIN2|123	1341.1329659218	-0.559035876533257	0.124377418337438	-4.49467342228141	6.96767985064685e-06	1.95949806952206e-05	PLIN2|123
ADH1A|124	2.6738533056845	-0.980972979789659	0.252236740102786	-3.88909632827444	0.000100618177978192	0.000237211907305891	ADH1A|124
ADH1B|125	224.372707939638	-1.75647837392165	0.216843144620246	-8.10022552014611	5.48573994409167e-16	5.43571883931179e-15	ADH1B|125
ADH1C|126	291.679514519212	-0.384448865717989	0.192383238330003	-1.99834907165107	0.0456788288854886	0.0703293060938298	ADH1C|126
ADH4|127	2.70617496626027	-1.91470019779696	0.411583226473565	-4.65203651325167	3.28672862779066e-06	9.64875602686784e-06	ADH4|127
ADH5|128	8325.77397757896	-0.5048585217662	0.0768883315270951	-6.5661266376718	5.1640902684993e-11	2.80122701299263e-10	ADH5|128
ADH6|130	19.2861845722332	0.540475900153351	0.315767817480829	1.71162439689144	0.0869659093226152	0.126275835705486	ADH6|130
ADH7|131	0.684853763393523	-1.24142422493154	0.545719656391414	-2.27483875721188	0.0229156043054723	0.0373365656961841	ADH7|131
ADK|132	748.605787239592	0.159423141336632	0.0598969879468755	2.66162200807208	0.00777651520425372	0.013774407918947	ADK|132
ADM|133	632.348958227617	0.07555642635754	0.179885706351096	0.420024625025354	0.674467464584379	0.759669046607693	ADM|133
ADORA1|134	32.2596738335432	0.184752786684489	0.163945280971008	1.12691738115452	0.259777413864942	0.335185118952345	ADORA1|134
ADORA2A|135	164.952643675456	0.318764024442185	0.102173988253586	3.11981581506875	0.00180964155132292	0.0035402665280456	ADORA2A|135
ADORA2B|136	79.4682727569776	-1.16985548674758	0.169475560138218	-6.9027975821026	5.09882606771853e-12	3.10107637371539e-11	ADORA2B|136
ADORA3|140	109.41602163703	-0.173547166740697	0.142493325079614	-1.21793190413469	0.223249851040744	0.293248385209056	ADORA3|140
ADPRH|141	808.504557955673	-0.469014524146471	0.100187086482128	-4.68138699921309	2.84940448515718e-06	8.44431773671187e-06	ADPRH|141
